pose_index,pose_read_status,docking_score,population_state,molecule_id,crossdock_arm
93,valid,-14.3061,PPS,238_23-2,L_PPS_to_R_PR
94,valid,-14.3043,PPS,297_54-1,L_PPS_to_R_PR
95,valid,-14.3029,PPS,134_24-1,L_PPS_to_R_PR
96,valid,-14.3025,PPS,253_52-3,L_PPS_to_R_PR
97,valid,-14.2946,PPS,286_57-4,L_PPS_to_R_PR
98,valid,-14.2941,PPS,159_5-4,L_PPS_to_R_PR
99,valid,-14.2828,PPS,290_8-2,L_PPS_to_R_PR
100,valid,-14.2817,PPS,327_9-3,L_PPS_to_R_PR
101,valid,-14.281,PPS,327_41-3,L_PPS_to_R_PR
102,valid,-14.2711,PPS,326_8-3,L_PPS_to_R_PR
103,valid,-14.2705,PPS,203_19-2,L_PPS_to_R_PR
104,valid,-14.2703,PPS,164_32-2,L_PPS_to_R_PR
105,valid,-14.2651,PPS,289_29-1,L_PPS_to_R_PR
106,valid,-14.2634,PPS,283_4-1,L_PPS_to_R_PR
107,valid,-14.2595,PPS,331_11-3,L_PPS_to_R_PR
108,valid,-14.2592,PPS,242_20-1,L_PPS_to_R_PR
109,valid,-14.2574,PPS,318_15-3,L_PPS_to_R_PR
110,valid,-14.2532,PPS,291_57-1,L_PPS_to_R_PR
111,valid,-14.247,PPS,240_9-1,L_PPS_to_R_PR
112,valid,-14.2461,PPS,325_40-2,L_PPS_to_R_PR
113,valid,-14.2456,PPS,272_42-1,L_PPS_to_R_PR
114,valid,-14.2443,PPS,265_13-3,L_PPS_to_R_PR
115,valid,-14.2438,PPS,296_21-3,L_PPS_to_R_PR
116,valid,-14.2416,PPS,276_2-1,L_PPS_to_R_PR
117,valid,-14.2416,PPS,164_47-3,L_PPS_to_R_PR
118,valid,-14.2374,PPS,288_17-2,L_PPS_to_R_PR
119,valid,-14.2315,PPS,248_8-6,L_PPS_to_R_PR
120,valid,-14.2307,PPS,347_6-3,L_PPS_to_R_PR
121,valid,-14.2297,PPS,325_47-16,L_PPS_to_R_PR
122,valid,-14.2291,PPS,207_48-6,L_PPS_to_R_PR
