scope,pocket_file,total_alpha_spheres,selected_alpha_spheres,union_volume_A3,standard_error_A3,naive_sphere_volume_sum_A3,bounding_box_volume_A3,points_inside,iterations,bounding_box_min,bounding_box_max
pocket11,Q:\coding_dir\701_Project\Resultsbin\fpocket_res\PR_potein_out\pockets\pocket11_vert.pqr,64,50,375.0130190925258,0.4721753055085802,3148.143385304932,969.5244301140012,386801,1000000,"[48.852999999999994, 84.928, 36.93]","[61.050000000000004, 93.297, 46.428000000000004]"
pocket15,Q:\coding_dir\701_Project\Resultsbin\fpocket_res\PR_potein_out\pockets\pocket15_vert.pqr,17,3,35.469990431928494,0.0339152581884222,82.20687178057405,67.89866391000027,522396,1000000,"[52.347, 85.922, 35.021]","[56.382000000000005, 90.311, 38.855000000000004]"
pocket60,Q:\coding_dir\701_Project\Resultsbin\fpocket_res\PR_potein_out\pockets\pocket60_vert.pqr,146,31,514.4599907202245,0.714168840996775,1686.804636944204,1505.8629037759981,341638,1000000,"[44.14, 86.85700000000001, 26.414]","[54.726, 95.825, 42.276]"
combined,pocket11;pocket15;pocket60,,84,875.9570454557107,1.5694523876104858,4917.15489402971,3687.9451557800035,237519,1000000,"[44.14, 84.928, 26.414]","[61.050000000000004, 95.825, 46.428000000000004]"
